Indicator ID,WB Code,Indicator,Pillar,Direction,ISO3,Country,Year,Value,Unit,ObservationStatus,Decimals,SourceLastUpdated,RetrievedAt
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BRN,Brunei Darussalam,2024,99.3799153055051,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BRN,Brunei Darussalam,2023,101.681320376369,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BRN,Brunei Darussalam,2020,104.65599822998,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BRN,Brunei Darussalam,2019,100.955518945634,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BRN,Brunei Darussalam,2018,106.125039669946,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BGR,Bulgaria,2024,94.5768127441406,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BGR,Bulgaria,2023,94.4560775756836,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BGR,Bulgaria,2022,95.7139129638672,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BGR,Bulgaria,2021,94.2598114013672,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BGR,Bulgaria,2020,97.7003631591797,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BGR,Bulgaria,2019,97.1262664794922,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BGR,Bulgaria,2018,97.0378875732422,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BFA,Burkina Faso,2024,51.9892903102133,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BFA,Burkina Faso,2023,51.6947761170006,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BFA,Burkina Faso,2022,58.291190218396,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BFA,Burkina Faso,2021,63.7436352801156,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BFA,Burkina Faso,2020,61.8698150998586,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BFA,Burkina Faso,2019,61.6091078457616,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BFA,Burkina Faso,2018,62.608203204783,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BDI,Burundi,2020,47.609493213452,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BDI,Burundi,2019,51.6197565455252,,,0,2026-07-13,2026-08-20 16:40:35.313
EDUCATION,SE.PRM.CMPT.ZS,"Primary completion rate, total",Human Development,LOW,BDI,Burundi,2018,55.4360093087346,,,0,2026-07-13,2026-08-20 16:40:35.313
